isolate,species,oogonium.width,oospore.width
ICMP 16471,P. agathidicida,32.65,29.7
ICMP 16471,P. agathidicida,24.75,22.23
ICMP 16471,P. agathidicida,29.7,27.23
ICMP 16471,P. agathidicida,32.2,27.23
ICMP 16471,P. agathidicida,32.2,24.75
ICMP 16471,P. agathidicida,32.2,27.23
ICMP 16471,P. agathidicida,29.7,24.75
ICMP 16471,P. agathidicida,32.65,29.7
ICMP 16471,P. agathidicida,32.2,24.75
ICMP 16471,P. agathidicida,32.2,27.23
ICMP 16471,P. agathidicida,29.7,27.23
ICMP 16471,P. agathidicida,29.7,24.75
ICMP 16471,P. agathidicida,22.23,19.8
ICMP 16471,P. agathidicida,32.65,29.7
ICMP 16471,P. agathidicida,32.2,27.23
ICMP 16471,P. agathidicida,32.2,24.75
ICMP 16471,P. agathidicida,37.13,29.7
ICMP 16471,P. agathidicida,32.65,29.7
ICMP 16471,P. agathidicida,29.7,27.23
ICMP 16471,P. agathidicida,32.65,29.7
ICMP 18244,P. agathidicida,32.2,29.7
ICMP 18244,P. agathidicida,29.7,27.23
ICMP 18244,P. agathidicida,29.7,27.23
ICMP 18244,P. agathidicida,29.7,27.23
ICMP 18244,P. agathidicida,24.75,22.23
ICMP 18244,P. agathidicida,32.2,29.7
ICMP 18244,P. agathidicida,37.13,29.7
ICMP 18244,P. agathidicida,37.13,29.7
ICMP 18244,P. agathidicida,32.2,29.7
ICMP 18244,P. agathidicida,32.65,29.7
ICMP 18244,P. agathidicida,32.65,32.65
ICMP 18244,P. agathidicida,29.7,24.75
ICMP 18244,P. agathidicida,29.7,27.23
ICMP 18244,P. agathidicida,29.7,24.75
ICMP 18244,P. agathidicida,32.65,29.7
ICMP 18244,P. agathidicida,29.7,24.75
ICMP 18244,P. agathidicida,32.65,29.7
ICMP 18244,P. agathidicida,32.65,32.2
ICMP 18244,P. agathidicida,32.2,29.7
ICMP 18244,P. agathidicida,29.7,24.75
ICMP 17964,P. heveae,24.75,19.8
ICMP 17964,P. heveae,24.75,22.23
ICMP 17964,P. heveae,29.7,24.75
ICMP 17964,P. heveae,24.75,22.23
ICMP 17964,P. heveae,27.23,24.75
ICMP 17964,P. heveae,24.75,19.8
ICMP 17964,P. heveae,27.23,24.75
ICMP 17964,P. heveae,27.23,24.75
ICMP 17964,P. heveae,24.75,19.8
ICMP 17964,P. heveae,27.23,24.75
ICMP 17964,P. heveae,27.23,19.8
ICMP 17964,P. heveae,24.75,22.23
ICMP 17964,P. heveae,27.23,22.23
ICMP 17964,P. heveae,27.23,24.75
ICMP 17964,P. heveae,27.23,19.8
ICMP 17964,P. heveae,29.7,22.23
ICMP 17964,P. heveae,22.23,19.8
ICMP 17964,P. heveae,29.7,24.75
ICMP 17964,P. heveae,29.7,24.75
ICMP 17964,P. heveae,27.23,24.75
ICMP 16914,P. heveae,29.7,24.75
ICMP 16914,P. heveae,27.23,24.75
ICMP 16914,P. heveae,29.7,24.75
ICMP 16914,P. heveae,27.23,22.23
ICMP 16914,P. heveae,27.23,22.23
ICMP 16914,P. heveae,24.75,22.23
ICMP 16914,P. heveae,27.23,24.75
ICMP 16914,P. heveae,29.7,24.75
ICMP 16914,P. heveae,27.23,24.75
ICMP 16914,P. heveae,29.7,24.75
ICMP 16914,P. heveae,29.7,27.23
ICMP 16914,P. heveae,27.23,24.75
ICMP 16914,P. heveae,24.75,24.75
ICMP 16914,P. heveae,27.23,24.75
ICMP 16914,P. heveae,29.7,24.75
ICMP 16914,P. heveae,27.23,22.23
ICMP 16914,P. heveae,32.2,24.75
ICMP 16914,P. heveae,27.23,24.75
ICMP 16914,P. heveae,27.23,24.75
ICMP 16914,P. heveae,27.23,22.23
ICMP 18737,P. castaneae,27.225,19.8
ICMP 18737,P. castaneae,29.7,19.8
ICMP 18737,P. castaneae,32.175,24.75
ICMP 18737,P. castaneae,29.7,24.75
ICMP 18737,P. castaneae,27.225,19.8
ICMP 18737,P. castaneae,29.7,19.8
ICMP 18737,P. castaneae,27.23,22.23
ICMP 18737,P. castaneae,29.7,22.23
ICMP 18737,P. castaneae,32.2,24.75
ICMP 18737,P. castaneae,29.7,22.23
ICMP 18737,P. castaneae,32.65,24.75
ICMP 18737,P. castaneae,29.7,24.75
ICMP 18737,P. castaneae,29.7,22.23
ICMP 18737,P. castaneae,29.7,22.23
ICMP 18737,P. castaneae,29.7,19.8
ICMP 18737,P. castaneae,29.7,24.75
ICMP 18737,P. castaneae,32.2,24.75
ICMP 18737,P. castaneae,29.7,24.75
ICMP 18737,P. castaneae,24.75,19.8
ICMP 18737,P. castaneae,24.75,19.8
ICMP 16915,P. castaneae,24.75,14.85
ICMP 16915,P. castaneae,22.23,14.85
ICMP 16915,P. castaneae,22.23,14.85
ICMP 16915,P. castaneae,24.75,17.33
ICMP 16915,P. castaneae,22.23,14.85
ICMP 16915,P. castaneae,19.8,14.85
ICMP 16915,P. castaneae,22.23,17.33
ICMP 16915,P. castaneae,19.8,17.33
ICMP 16915,P. castaneae,19.8,17.33
ICMP 16915,P. castaneae,22.23,19.8
ICMP 16915,P. castaneae,29.7,24.75
ICMP 16915,P. castaneae,22.23,14.85
ICMP 16915,P. castaneae,22.23,14.85
ICMP 16915,P. castaneae,19.8,14.85
ICMP 16915,P. castaneae,19.8,17.33
ICMP 16915,P. castaneae,22.23,14.85
ICMP 16915,P. castaneae,24.75,19.8
ICMP 16915,P. castaneae,24.75,19.8
ICMP 16915,P. castaneae,22.23,19.8
ICMP 16915,P. castaneae,24.75,19.8
ICMP 19434,P. castaneae,14.85,9.9
ICMP 19434,P. castaneae,19.85,14.85
ICMP 19434,P. castaneae,24.75,19.8
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19434,P. castaneae,24.75,19.8
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19434,P. castaneae,19.8,12.375
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19434,P. castaneae,19.8,12.375
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19434,P. castaneae,19.8,9.9
ICMP 19434,P. castaneae,19.8,12.375
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19434,P. castaneae,19.8,14.85
ICMP 19435,P. castaneae,19.8,14.85
ICMP 19435,P. castaneae,19.8,14.85
ICMP 19435,P. castaneae,22.275,14.85
ICMP 19435,P. castaneae,22.275,14.85
ICMP 19435,P. castaneae,24.75,14.85
ICMP 19435,P. castaneae,19.8,9.9
ICMP 19435,P. castaneae,19.8,14.85
ICMP 19435,P. castaneae,19.8,9.9
ICMP 19435,P. castaneae,22.275,14.85
ICMP 19435,P. castaneae,19.8,14.85
ICMP 19435,P. castaneae,22.275,19.8
ICMP 19435,P. castaneae,19.8,12.375
ICMP 19435,P. castaneae,19.8,14.85
ICMP 19435,P. castaneae,19.8,14.85
ICMP 19435,P. castaneae,19.8,14.85
ICMP 19435,P. castaneae,19.8,14.85
ICMP 19435,P. castaneae,19.8,14.85
ICMP 19435,P. castaneae,19.8,14.85
ICMP 19435,P. castaneae,22.275,19.8
ICMP 19435,P. castaneae,19.8,14.85
ICMP 19436,P. castaneae,27.225,19.8
ICMP 19436,P. castaneae,22.275,17.325
ICMP 19436,P. castaneae,24.75,17.325
